Username,Follower,About,Location,PageURL,Sexual,EnneagramType,Gender,Groups
,"['Celebok', 'Figure', 'Fridays', 'InterPersonality', 'Ista', 'jeffbobs', 'Lady Lullaby']",,Australia, https://www.personalitycafe.com/members/interpersonality.html,,Type 1,Female,[]
InterrogaOmnia,['pznivy'],,, https://www.personalitycafe.com/members/interrogaomnia.html,Female,,,[]
,['cantyousimplytry0'],I'm paranoid but I'm no android,Around.,,Both,Unknown,Male,[]
INTPness,['foolboy'],,, https://www.personalitycafe.com/members/intpness.html,,,,[]
INTPoetry,"['Bunnyntrevor', 'CTRLvector', 'DudeGuy', 'Eckhardt', 'Juggernaut', 'lilysocks', 'maust', 's2theizay', 'Sava Saevus', 'World Tuner']","I write poetry. I shouldn't do that because I could make a lot more money writing dinosaur erotica.  
I am disappointed there is no profile option for Sexual Preference: Lying Down.  
I'm a bit Irish but I'm told it's not contagious.",,,,,Neutral,"['find-friend', 'intps-ftw']"
,"['Happy about Nothing.', 'iamken']",,,,Female,,Male,[]
high_heels,"['Lady x', 'planetanarchy']",,, https://www.personalitycafe.com/members/high_heels.html,,,,[]
higuy525,"['18skeltor', 'Ad Astra']",,, https://www.personalitycafe.com/members/higuy525.html,,,Male,[]
,"['Fat Bozo', 'pneumoceptor']",,, https://www.personalitycafe.com/members/inquisitivet.html,,,Male,[]
InsaneBrain,,Heehee :B,,,,Unknown,Female,[]
,"['7dogguy', 'Oh_Jugs', 'whiteglint']",,, https://www.personalitycafe.com/members/insanity.html,Female,Type 5w6,Male,[]
InsanityRemix,"['Victorianna', 'zenithx', 'AbioticPrime', 'ChraunAnon', 'elf', 'Jinsei', 'Lady Lullaby', 'Ntuitive', 'Oyashiro-Sama', 'septemberdawn', 'Stephen', 'TxWolves']","I need to come up with something for this, but first: coffee.",Somewhere in the NorthEast with a lot of trees.,,Female,Type 2w1,Male,[]
inscribed,"['zobot', 'Conscience Killer', 'Curiously', 'ertertwert', 'lordPhoenix', 'Maximus', 'princessJAY', 'Roxanne_', 'SargeMaximus', 'unINFalliPle', 'Vivid Melody']","I'm a self-work junkie. I talk to myself, the sky and things that can't be seen. I build systems, and I think love is awesome. I'm going to be a scientist of the soul.",,,Demisexual,Type 9w1,Female,[]
InsertCreativeNameHere,"['boogiestomp', 'cattlemutilation', 'DemonAbyss10', 'Ik3']",,,,,,Female,[]
INTJ Mastermind,"['Delilah', 'stubborness']",,, https://www.personalitycafe.com/members/intj-mastermind.html,Asexual,Type 9w1,,[]
intj0703,['knightmonk'],,,,,Type 5,Female,[]
ishan,"['chad0', 'FILTHY TINKER SPAMMER', 'heavydirtysoul', 'lukebtc']",,, https://www.personalitycafe.com/members/ishan.html,,,Male,[]
Ishiko,"['blueroo27', 'ENFPie', 'Haruhi Suzumiya', 'Inverse', 'Morpheus83', 'Norbert Weensalot Judas', 'sonicdrink', 'SumomoLi', 'Tkae']",,San Diego, https://www.personalitycafe.com/members/ishiko.html,Male,,Male,"['sos-brigade', 'lgbt', 'nihongo']"
Instinktual,"['BranchMonkey', 'Katie Tran', 'Llyralen', 'Sei35']",,"On the couch, next to the coffee table.", https://www.personalitycafe.com/members/instinktual.html,Demisexual,,,[]
instruMENTAL,"['Captain Epic', 'Cerebro', 'Einstein', 'Falan', 'Vexed']",,Limbo, https://www.personalitycafe.com/members/instrumental.html,,Type 5,Neutral,[]
insultfashioner,"['Bahburah', 'DomNapoleon', 'ENTrePreneur', 'Lover', 'wientmg']",,,,,,,[]
INTPuns,,,, https://www.personalitycafe.com/members/intpuns.html,,Type 7w8,,[]
,,,San Francisco, https://www.personalitycafe.com/members/intrasearching.html,,,,[]
IntrepidDreamer,"['DeftonesVicious', 'motherofdragonslover']",,,,,,Female,[]
gkolarik,['cnichola18'],,, https://www.personalitycafe.com/members/gkolarik.html,,,,[]
,"['Einstein', 'Sum Nemore', 'thelittlemermaidx']",,, https://www.personalitycafe.com/members/glacierberry.html,Male,,,[]
,,,, https://www.personalitycafe.com/members/gladiatormalibu.html,Female,Type 4,Male,[]
,,,, https://www.personalitycafe.com/members/gladiatorqueen.html,,,Female,[]
intjdude,,,,,,Type 5,Male,[]
iseeincolor,"['Empurple', 'goldrule2', 'jbking', 'Jwing24']",,Los Angeles, https://www.personalitycafe.com/members/iseeincolor.html,,Type 4,Female,[]
Iselia,,,,,,Type 5,,[]
islandlight,,I'm one of the older people on the site (60+).,a small island in North America,,Male,,,[]
islandofmisfittoys,"['accomania', 'angelcat', 'Kdiosa', 'Mary R.']",,, https://www.personalitycafe.com/members/islandofmisfittoys.html,,,,[]
Glitter Polska,,,Studying Abroad in Texas,,Male,Type 5,Female,[]
glitterincateyez,,,South Carolina, https://www.personalitycafe.com/members/glitterincateyez.html,Male,,,[]
glitternotgold,"['Baby Blue', 'DeliriumAndDoubt', 'ekap', 'fantasista', 'Pakaa', 'PastThoseStars']","just a girl trying to figure out my place in the world, and yes i know cliche. tritype is 2w1, 5w6, 9w1",,,Male,Type 2,,[]
GlitterPrincess,,,, https://www.personalitycafe.com/members/glitterprincess.html,Male,Type 5,,[]
glittersatan,"['Blue Potato', 'Silvi']","1.) my cat / cats in general
2.) ????? anime ?????
3.) cute things
4.) internet/computer
5.) video games
6.) fashion ((??$$$ lolita $$$??))
7.) $$$$$$$$$$$$money$$$$$$$$$$$$$    
petting my cat
fawning over cute things
eating junk food
hating myself",,,Male,Type 4w5,Female,[]
Gr8ful,"['Calpan1832', 'Ed Morgan', 'StarryHawaii']",,, https://www.personalitycafe.com/members/gr8ful.html,,Unknown,Female,['shining-ones']
Fizipop,"['Donkey D Kong', 'Kriash']",Why can't we all just get along?,, https://www.personalitycafe.com/members/fizipop.html,Female,Unknown,Male,[]
,,,, https://www.personalitycafe.com/members/fizzylizzy.html,,Type 5,Male,[]
Gothicamew,,,Under my bed. <3, https://www.personalitycafe.com/members/gothicamew.html,Male,,,[]
ivanpatriki,['red riding hood'],,, https://www.personalitycafe.com/members/ivanpatriki.html,,,,[]
Inure Penumbra,"['Emerson', 'Kerik_S', 'Ollyx2OxenFree', 'Tuscan Dreamscape', 'Wakachi', 'yakeye', 'Yomotsu Risouka', 'ZZZVader']","I LIVE FOR ISFJs THEY ARE THE ONLY WORTHWHILE TYPE TBH 
Hi, I'm Nancy. I'm an INFJ/IEI-Fe, 4w3 sx/sp. I play 3ds games a lot. Other than that, I've been trying to learn German, how to play the guitar, as well as skateboarding. During my years at university, I have literally studied every subject area listed under my interests. 
Also, I'm in a socionics duality relationship with an SLE-Ti, 8w7 sp/sx. So feel free to ask me about how it works in reality. :)",, https://www.personalitycafe.com/members/inure-penumbra.html,Bisexual,Type 4w3,Female,[]
,,,, https://www.personalitycafe.com/members/intxress.html,Male,Type 8w9,Female,[]
INTP Lurker,['clem'],,, https://www.personalitycafe.com/members/intp-lurker.html,,,,[]
,,,Your imagination, https://www.personalitycafe.com/members/goosefish.html,,Type 3w4,Female,"['perc-infp-chat-room', 'yourself']"
GoosePeelings,"['Clyme', 'confused girl28', 'Doctor Sleep', 'Dreamwaves', 'durd561', 'ERIKGWK', 'FakeLefty', 'Faygo', 'Flow Ozzy', 'Grandmaster Yoda', 'HeartCartography', 'Ik3', 'JaySH', 'johnaton smith', ""L'Enfant Terrible"", 'Little_Bird', 'Lucky Luciano', 'Lunariany', 'mapperky', 'Mashidar', 'Mcblahflooper94', 'No Eyes', 'NotedBook300', 'OberonHuxley', 'Obscure', 'Oyashiro-Sama', 'Pinkieshyrose', 'Punniez', 'Queen Qualia', 'sampa', 'seasofme', 'SmilingWriter', 'SnowPharaoh', 'Sonyx', 'Space Ryder', 'SpectrumOfThought', 'StarFollowed', 'StarryHawaii', 'StephanieAlice', 'SysterMatic', 'The Guitar Hero', 'TheCosmicHeart', 'thiefaelos', 'ThoughtfulThinker', 'Versatility', 'VIIZZY', 'xdOllie', '-Alpha-', '11thNight', '604', 'A. Sydney Vance', 'AidanOfSweden', 'AvengedEightfold', 'basilluna', 'blehBLEH', 'Boi Bussy', 'Chest']",Too much to say. Just ask.,"Helsinki, Finland",,,Type 5w6,Female,['fandom-chat']
GnomeFlake,,,, https://www.personalitycafe.com/members/gnomeflake.html,,,Male,[]
j3321,"['Ambivalence', 'kiera', 'smileyfacepenguin', 'thehigher']",Hi I'm Jeremy,Leeds, https://www.personalitycafe.com/members/j3321.html,,,,[]
IchBinZetsubou,['ShadoWolf'],,,,,,Neutral,[]
iChelsea,,"unique, blonde, creative, independent",,,Male,,Female,[]
ichibi,"['Confused Little Children', 'Darkstar', 'Dauntless', 'jalex', 'Pterinochilus Murinus']",,Lund,,,,Female,[]
Ichthus,['Klaro26'],,, https://www.personalitycafe.com/members/ichthus.html,Female,Type 5w6,Male,['infp-haven']
icicle84,,,, https://www.personalitycafe.com/members/icicle84.html,Female,Type 4,,['christians']
Jacob,"['firedell', 'Liontiger']",,No stalker please,,Female,Type 9,Male,[]
Jaentel,,,,,Male,,Female,[]
jaenelldeana,"['Kenneth Udut', 'Zegaray']",,,,,Type 4,Female,[]
Jagbas,,Yellow is the colour of my sooouuul...,, https://www.personalitycafe.com/members/jagbas.html,,Type 7w6,Female,[]
,['M Plus 7'],,, https://www.personalitycafe.com/members/jaggedjimmyjay.html,,,Male,[]
Irmalair1689,"['bohemianx', 'inverity', 'Kimochiru']",,, https://www.personalitycafe.com/members/irmalair1689.html,Male,Unknown,Female,"['harry-potter', 'art-club', 'nt-brotherhood', 'lost-lonely', 'psychology']"
IronboundGlobe,"['Kamajama', 'NekoNinja', 'Slider']",,, https://www.personalitycafe.com/members/ironboundglobe.html,Female,,Male,['bring-back-old-cartoon-network']
g_w,"['MadinCheshire', 'Miss Nobody', 'MollyGoRound', 'Nafatali', 'sanari', 'sweet morphine', 'TheAfflatusSurging', 'Thread Killer', 'Vexed', 'ALittleSalt', 'Asmodaeus', 'b3th', 'bloomingdepths', 'BoPeep', 'Dabbling', 'Delilah', 'Dennitsa', 'Despotic Nepotist', 'ENTrePreneur', 'Epherion', 'FakeLefty', 'Fievel', 'Goetterdaemmerung', 'HeartCartography', 'Hyperbole', 'Indiana Dan', 'Inside Job', 'IQ362430', 'Llyralen']",,Midwest US, https://www.personalitycafe.com/members/g_w.html,,Type 5w4,,[]
,['hell swamp'],,cali, https://www.personalitycafe.com/members/jamba-juice.html,Bisexual,Unknown,Female,"['psychedelic-trips-dreams', 'voltron-fans-original-new']"
Filraen,,,Switzerland, https://www.personalitycafe.com/members/filraen.html,Bisexual,Unknown,,"['harry-potter', 'teens-perc', 'infp-haven', 'mental-illness-breaking-silence']"
FILTHY TINKER SPAMMER,"['ArmchairCommie', 'ishan', 'Steadfast04']",,, https://www.personalitycafe.com/members/filthy-tinker-spammer.html,,,Male,[]
,['LawyersAdvocate'],"I gave birth to myself from willpower alone, then I became a god and flew to my real planet.
Or so they say...",30$ a month, https://www.personalitycafe.com/members/finagle.html,Female,Type 5,,[]
Finaille,"['MilkyWay132', 'MissyMaroon', 'ModelandActress', 'Mr. Meepers', 'muddy120', 'Munyamoon', 'NaughyChimp', 'Nigreda', 'niss', 'nottie', 'JaySH', 'jessmk7', 'Johnny AppleShy', 'justjay', 'Kitten', 'Lolerskater', 'machood', 'mamadabinski', 'MeltedSorbet', 'Mendi the ISFJ', 'Oatsie', 'petitpèlerin', 'pinkrasputin', 'Pond25', 'quadrivium', 'QueenOfCats', 'rednet2', 'SenhorFrio', 'shedreamt', 'Shorttail', 'timeless', 'ToRoom101', 'Tubthumpin', 'Tuttle', 'untypable', 'Up and Away', 'Utensils', 'viva', 'WakeHopper', 'WMDistraction', 'Danse Macabre', 'Eerie', 'ENFPie', 'Essay', 'EternalNocturne', 'fguewriter', 'Flatlander', 'Fyrespiral', 'Geoffrey', 'Helios', 'Sillia Rosa', 'SilverSerenity', 'SirDude', 'Some Kind of Blue', 'Spades', 'splint3r', 'StaceofBass', 'stone100674', 'TaleofMisunderstood', 'The King Of Dreams', 'Ace Face', 'Ahiko', 'All in Twilight', 'Aya the Abysswalker', 'BooMonster', 'Catenaccio', 'Cher Zee', 'chickydoda', 'chimeric', 'Coburn']","Learning about myself, one day at a time...",Minnesota,,,Type 4,Female,[]
Gregory Start,,,,,Female,,Male,[]
Jebediah,"['musician gal', 'NeonBomb', 'rambleonrose', 'renna', 'WamphyriThrall', 'warweasel', 'Aryn2', 'Boi Bussy', 'Brynja', 'Christie42476', 'cricket', 'cue5c', 'Dalton', 'Dauntless', 'Deejaz', 'Doktorin Zylinder', 'DontYouLoseHimSamwise', 'Dyslexicon', 'FakeLefty', 'Fievel', 'FindNoEnemy', 'haephestia', 'Halcyon', 'herinb', 'I_destroyedtheuniverse', 'Lemxn']",Must not sleep. Must warn others.,Ireland, https://www.personalitycafe.com/members/jebediah.html,,Unknown,Male,[]
JechtSpencer,,"Jecht Spencer helps people to maximize their full potential. Fresh out of the United States Navy he has helped hundreds of clients achieve their life's goals in health, wealth, and relationships.  
Now he runs his personal brand Jecht Spencer, one of the world's newest thought leaders on self-development. Along the way he became a dynamic Keynote Speaker, Life Coach, and Investor. He has invested in companies like Facebook, Uber, and Google before eventually creating a fresh and invigorating look into how to have more success in this thing called LIFE.",,,Female,Type 4,Male,[]
Jeckbleck,['AlexanderHoff123'],"Trifix: 3w2, 9w1, 7w6",, https://www.personalitycafe.com/members/jeckbleck.html,,Type 9w1,,[]
,['Lawless Land'],,,,Male,,Female,[]
Jelli,,,,,,Type 2,,[]
jendragon,"['Celebok', 'Elaminopy', 'Fat Bozo', 'Figure', 'Flatlander', 'Lady Lullaby', 'pneumoceptor', 'rd93', 'tanstaafl28', 'teddy564339', 'Wartime Consigliere']",,Midwest, https://www.personalitycafe.com/members/jendragon.html,Male,,Female,[]
jenecis,,,, https://www.personalitycafe.com/members/jenecis.html,,Unknown,Female,[]
,"['thehigher', 'WiscoExplorer', 'Blackbeard', 'cnichola18', 'falling up', 'GoldenDawn', 'iChelsea', 'infpblog', 'MrRandom88', 'OmarFW', 'Shaneus', 'Tawa']",,us, https://www.personalitycafe.com/members/grasshopper.html,Male,,,['infp-haven']
Graveyard,,"Nevermind, there's a blog entry for that. It's a mess but idk.",, https://www.personalitycafe.com/members/graveyard.html,Male,Type 9w1,Male,[]
gravitate,,,,,,,Female,[]
,"['Meredith Petersen', 'Ntuitive', 'Oluwadan', 'Razare', 'SargeMaximus', 'skye21', 'songbird244', 'Tehuti', 'The Healer of Souls', 'wolvent42', 'Cerulean', 'Ayia', 'Bear987', 'Georgii', 'indieandsoul', 'Jay_Tholen', 'Kilgore Trout', 'L', 'lblouin1', 'Manta8406']",,, https://www.personalitycafe.com/members/jamie-ether.html,,Type 5,Female,[]
,"['Dalton_C', 'Dark Romantic', 'dogwoodlover', 'Duck_of_Death', 'Elbereth Gilthoniel', 'electricky', 'ENTJam', 'Frosty', 'Intellectual', 'jpgbrookes85', 'AbioticPrime', 'Agent Blackout', 'Alice_Morgan', 'Aquc', 'Beck', 'BlackMamba', 'CassandraNova', 'Charles Schwaniger', 'cityofcircuits', 'Cloudlight', 'karina7205', 'lemmon2003', 'LizzyP', 'MexicasianNinja', 'Miss Scarlet', 'MyName', 'Near Lawliet', 'NotedBook300', 'One4YesTwo4No', 'Paulie', 'Ramysa', 'redhotchips', 'SeeNbetween', 'Shenanigans', 'skycloud86', 'Swordsman of Mana', 'tacesiface', 'Tega1', 'The Doc', 'Thomas60', 'Tiangou', 'TowerTechPDX', 'Up and Away', 'vryptex', 'waitwhat...']","Where I either list random things about me or embark on the essay ""Jamie: The Bond Perspective.""",,,Male,,,[]
jayyy,,,,,,,Female,[]
Jay_Tholen,,,,,,,,[]
,"['flyingpancake', 'Issmene']",I am an English literature / Culture student and graphic designer with a tendency to adapt too much or help people too much. I care more for other people than myself.,"Leiden, ZH, the Netherlands",,,Type 2,Female,[]
Jazer Strozier,"['tabbee', 'xxxlovefactorxxx', 'A Better Tomorrow', 'elissabowden', 'freeeekyyy', 'infpblog', 'MeltedSorbet', 'Peppermint Mocha', 'SamTheMediocre', 'Simplify', 'Swede', 'SweetieDee']",,"Austell, Georgia, United States", https://www.personalitycafe.com/members/jazer-strozier.html,,Unknown,,"['estj', 'christians', 'enfp']"
Jazibelle,"['FromTheWorldUp', 'Hardstyler', 'Hawaianhamster', 'Hokahey', 'JoetheBull', 'Jojo', 'Lilsnowy', 'Mind Marauder', 'Morpheus83', 'Navis Amoris', 'nikkii', 'njchick', 'Paraclete', 'penchant', 'rainingthroughmyhead', 'Rogue Eagle', 'screamofconscious', 'Shield of Light', 'socalmtb858', 'Still Waters', 'Alima', 'angularvelocity', 'Azura Nova', 'Bright Laughter', 'Btmangan', 'CyberSheep', 'Danse Macabre', 'ertertwert', 'Essay', 'Fred', 'SuburbanLurker', 'The Vizier', 'Trauma', 'TreeBob']",i'll tell you a love story... one day I was born...  ;)  hehehe,"Montreal, Québec", https://www.personalitycafe.com/members/jazibelle.html,,Type 2,,"['canadians-personality-cafe', 'enfp']"
,,,USA, https://www.personalitycafe.com/members/jewl.html,,,Female,[]
jewelz,,,, https://www.personalitycafe.com/members/jewelz.html,Male,,Female,['infp-haven']
,"['DreamingSoul', 'Marsupilami']",www.jeyssika.tumblr.com    I have my moments.,"Middlesbrough, United Kingdom",,,,Female,[]
Jezebello,['Kriash'],,Midwest,,Male,Type 3,Male,[]
jezroue,"['Ray Mabry', 'Sleepy', 'Slider', 'SVALP', 'Thalassa', 'vel', 'WildWinds', 'AlexOrgasmic', 'babblingbrook', 'bigtex1989', 'DoveEyes', 'happypessimist', 'Michail', 'MilkyWay132', 'Mina', 'Mister_Blue91', 'OneiricEntropy']",Texan,Left of California,,,Unknown,,[]
johnaton smith,['GoosePeelings'],,,,Female,,Male,[]
johnbgood,,"A scientist by MBTI, a scientist in fact",, https://www.personalitycafe.com/members/johnbgood.html,Female,Unknown,,[]
johncena,,,,,Female,,Male,[]
,"['cannibalmarinade', 'studentofrhythm']",,, https://www.personalitycafe.com/members/johndaw.html,Female,,Male,[]
,"['chickydoda', 'Esotere']",,England,,Bisexual,Unknown,Male,[]
,"['CircusCat', 'Roseus']",,, https://www.personalitycafe.com/members/guardian00angel.html,,Type 9w1,,[]
johnmorgan,['magicmarker'],,, https://www.personalitycafe.com/members/johnmorgan.html,,,Male,[]
Johnny AppleShy,"['boospookum', 'Finaille', 'Pointless Activist', 'Questing', 'SpectrumDreamer', 'Taks', 'The King Of Dreams', 'Vines']",,,,Female,Type 9w1,Male,[]
,"['Shorttail', 'snail']",,,,,,Female,[]
GummySF,,,, https://www.personalitycafe.com/members/gummysf.html,Pansexual,Unknown,Female,[]
GundamChao,"['cool', 'Pinkachu']","So many years spent chasing, only to finally find what I'm looking for right in front of me, in the mirror. 
Enneagram: ""Gentle Spirit Archetype"". 7-4-9, or 7w8-4w3-9w1. Exact order unknown.",, https://www.personalitycafe.com/members/gundamchao.html,,Type 7w8,,[]
Gunnaross,['Kallie747'],,, https://www.personalitycafe.com/members/gunnaross.html,,,,[]
Jerzy Urban,"['TwistedMuses', 'Volthare', 'Wonszu', 'jdstankosky', 'MereHuman', 'Miss Prince', 'NeonMidget', 'Persian', 'planetanarchy', 'Polemic', 'Random2d', 'ShatteredHeart', 'tnarja', 'Avidya', 'b3th', 'b90', 'DAHN', 'danielleabear', 'Delilah', 'Epherion', 'FakeLefty', 'Grunfur', 'Helios']",,"Siberia, Canada.",,,Type 1w2,Neutral,"['humanists-personality-cafe', 'atheists-personalitycafe', 'existentialism']"
,"['BluSkyes', 'dreamcatcher', 'ethylester', 'faeriegal713', 'Hotspur', 'jewelz', 'periculosa', 'Raichan', 'refugee', 'Rez']",,,,Female,,Male,"['perc-infp-chat-room', 'infp-haven']"
GusWriter,"['Amyra', 'dream land fantasy', 'KacangSukro', 'King Piece', 'Longhairdontcare', 'NipNip', 'Pifanjr', 'ReasonforTreason', 'stathamspeacoat']","Yeah, a short biography for someone born in 1970? Related to my INTP personality: Struggled to be like the others around me, mostly task oriented types. Years and years ago got bad, so I thought I was stupid and lazy. Took an IQ test, went to see a counselor, found out neither was true at all. So, now, I know who I am, why I am the way I am, and despite the fact I still work where being task oriented is part of it, I know I have my limits of how much of it I can take, so I can spend time pursuing interesting subjects, including my writing career. 
Also, have learned to open up and find my feeling side quite a bit. I now sometimes test INFP, which really helps my relationship with my darlin' wife. I am currently an odd T/F hybrid, and I'm kind of excited about that.","Live in the highlands of Arizona, Although I often live in my own little world", https://www.personalitycafe.com/members/guswriter.html,Female,Unknown,Male,[]
Griffinilla,,,,,,,,[]
,"['Anti-Fascist Knight', 'OrangeAppled']",Insecure high school sophomore with blue hair and an obscene obsession with TF2.,,,Male,Type 5,,[]
GrimDork,['SciVoid'],,,,,,,[]
Jinay,,,,,,,Male,[]
Jingo,"['Absurdist', 'Airyx', 'BitterLimeParakeet', 'fantasista', 'Kalifatidess', 'snail', 'starfruit']",,California, https://www.personalitycafe.com/members/jingo.html,Asexual,Type 9w1,Neutral,[]
,['Falco Peregrinus'],Currently searching for a job. Unable to message anyone until I post 15 posts.  Sorry!,, https://www.personalitycafe.com/members/jingting.html,,Type 5,Female,[]
jessesutter,"['AbioticPrime', 'Sunfox', 'Thomas60']","Political language... is designed to make lies sound truthful and murder respectable, and to give an appearance of solidity to pure wind. 
-George Orwell 
In the land of the blind, the one-eyed man is king.",Oregon, https://www.personalitycafe.com/members/jessesutter.html,Female,Type 6,Male,[]
gvsunde,"['JakkieTea', 'Mandi', 'Meowmixmuffin', 'musician gal', 'PumpkinEater', 'snail', 'TheHappyMinority', 'Third Engine', 'thisisme', 'thor odinson', 'unico', 'AgnosticWriterINFP', 'AguaDeCoco', 'babblingbrook', 'Benedox', 'cryptonia', 'dritalin', 'Happy', 'Haruhi Suzumiya', 'HollyGolightly', 'i love jesus and music']",,,,Female,Unknown,,[]
JenniGrace,"['Dan_Ra', 'katyjans95', 'Swordsman of Mana']",,,,,Type 7w6,,[]
jess5143,"['BadBrains', 'Gyant', 'Johnny815', 'tkdprincessxoxo']",,, https://www.personalitycafe.com/members/jess5143.html,Male,,Female,[]
Jessayy,"['Danman917', 'Rube', 'SpaceCadette']",,,,Male,,,[]
Inventive,,"3w4, 6w7, 9w8 
Typed as an ENFP, then an INTP, but actually an ENTP",, https://www.personalitycafe.com/members/inventive.html,,,Female,[]
inverity,"['Irmalair1689', 'isamanthax']",,,,,Type 5w4,Neutral,[]
Inverse,,,,,,Type 9,Male,[]
JusticeBreaker,"['Ahiko', 'Brixby Jones']",,,,Female,,Male,[]
JusticeTaylor,"['Amore', 'cool', 'Dug', 'earth to adam', 'KidThunder', 'Laguna', 'register', 'Satan Claus', 'shedreamt', 'TheOverobserver']",,, https://www.personalitycafe.com/members/justicetaylor.html,,,Male,[]
Justin Dilbeck,"['coffeebelle', 'eclipsethesun', 'Savannah', 'viva']","I'm Justin Dilbeck.
I'm in the Air Force, my job is security forces. Originally from McAlester OK now I reside in Minot ND! I'm a free thinker. I love to read about religion, eschatology, people, philosophy and prophecy. I keep my mind open. I examine people, and pick up details about a person; body language. I'm pretty good with computers. I watch movies like crazy, anything that's available. I see things differently that anyone else, I see what most of you reject to. 
https://www.facebook.com/justin.dilbeck","Minot, ND",,Female,Type 6,Male,[]
Justin Opmeer,['Warrior_Princess'],,, https://www.personalitycafe.com/members/justin-opmeer.html,,,Male,[]
JuneBud,"['hufflepunk', 'impala39', 'KasKas19', 'Librarylady']",,,,,Unknown,Male,[]
JuneBugJay,"['audrey695', 'autumnwind', 'bagelsan', 'Bennantg', 'Celestial_Booger', 'CupcakesRDaBestBruv', 'Donovan', 'Fessions', 'iceblock', 'Killionaire', 'Mercutio', 'OrdinarinessIsAFWTD', 'PolystyreneMan', 'SynergeX', 'Vaka', 'VioletIris', 'Xenograft']",,, https://www.personalitycafe.com/members/junebugjay.html,,Type 2w1,Female,[]
JuneHymn,['alfred.greene'],,, https://www.personalitycafe.com/members/junehymn.html,Male,Unknown,Female,[]
GSMenardi,,,, https://www.personalitycafe.com/members/gsmenardi.html,,,Female,[]
Jxuptosae,"['JungyesMBTIno', 'SophiaScorpia', 'sri lanka', 'Vexed']",,, https://www.personalitycafe.com/members/jxuptosae.html,Female,Type 5,Male,[]
JyeshtaMoon,"['Frenetic Tranquility', 'Nox']",,, https://www.personalitycafe.com/members/jyeshtamoon.html,Male,Type 6w5,Neutral,[]
,"['Death Persuades', 'Jennywocky', 'The Frozen One']",,Great Lakes,,Female,Type 5w4,,[]
JustTima,,"The inventor of the awesome-weird combo. A on-the-way design college student with a bubbly can-do attitude and a perception of how others are. Life-long wish: To have a month-long hike in a forest so green, you'd never want to leave.",,,,Unknown,Female,"['find-friend', 'dancers']"
Just_Andrew,['Chtoffee'],,, https://www.personalitycafe.com/members/just_andrew.html,,Type 3,Male,[]
,"['BooksandButterflies', 'leftbanke']","What about me might others find interesting?I'm a parent, a lover, a motherI love life ... for life is loveI do not fear death ... for death is just a new beginningI know many things ... yet I am always learningI go through life with eyes of wonder ... for the world is full of such beautyI go through life with nightmares ... for the world is full of nightmaresWhen you get down to it ... I am me.I could bore you with menial statics like:I'm 5'7"", 120 pounds, 34A-24-34, blue eyes, blonde hair ...But that's not me ... that's just the packaging I happen to come in ... what truly matters it what's inside the packaging ...The person who cries at a good commercial and yells when I see injusticeI am a poet, a philosopher, a photographer, a writer, a lover, many things ...","Lawrence, Kansas, United States",,,Type 6w5,Female,[]
InvisibleButterfly,,"...and the rest, you can learn as you read my posts by and by...",in mah skin, https://www.personalitycafe.com/members/invisiblebutterfly.html,Male,Type 6w5,Female,[]
InvisibleJim,"['PurpleTree', 'purplevelvetmask', 'RhoAlphaNuAlpha', 'SapphireSarah', 'screamofconscious', 'Singularity', 'SpankyMcFly', 'Staryu', 'StephAnne04', 'Sunless', 'green4keeps', 'Hemoglobin', 'Isis', 'JesusSuperStars', 'knght990', 'KrystRay', 'KyojiK', 'Linesky', 'MindBomb', 'missred', 'agokcen', 'Akrasiel', 'Allegorist', 'Artemis', 'EvanR', 'Expat in Japan', 'Fanille', 'Femme', 'FrogFace', 'Goodewitch', 'susurration', 'SyndiCat', 'taylor2005', 'Thatgirl', 'The Exception', 'Tkae', 'Ungweliante', 'Verdant Hollow', 'MNiS', 'MOGwok', 'murderegina', 'Narrator', 'NastyCat', 'NightSkyGirl', 'Ninja Nem', 'N^G', 'Orbrial', 'prplchknz']",,, https://www.personalitycafe.com/members/invisiblejim.html,,Type 5,Male,"['metal', 'hanniballecter-fans-user-not-character', 'aleph-garden', 'fans-bethdeth', 'discrimination-not-joke', 'grammar-nazis', 'evanr-s-fan-club', 'grey-fan-club', 'british-folk', 'hemoglobin-s-fan-club', 'fans-bionic', 'invisiblejim-fan-club', 'boring-entp-other-boring-people-group', 'intj-s-group']"
,"['Eryngo', 'Firelily', 'FueledByEvil', 'Geonerd', 'HypernovaGirl', 'Ista', 'Jamaia', 'Jennywocky', 'johnnyyukon', 'Kaboomz', 'anthraex', 'bengalcat', 'Blue Ribbon', 'Buzz', 'Curiously', 'Desthro', 'downsowf', 'dracula', 'ElectricHead', 'Epictetus', 'shazam', 'Snakecharmer', 'Svensenberg', 'tanstaafl28', 'tr0u8l3m4k3r', 'treschanna', 'Tsubaki', 'zobot', 'kikikins', 'LittleDreamer', 'Marshy', 'motherofdragonslover', 'nadjasix', 'Obv', 'olonny', 'petite libellule', 'redeemofself', 'RosettaStoned']",,Over that way., https://www.personalitycafe.com/members/haldir.html,,Unknown,Male,[]
halfamazing,['Dalien'],,, https://www.personalitycafe.com/members/halfamazing.html,,,Male,[]
